"Time (JDate)","Azimuth (deg)","Elevation (deg)","Range (km)"
2456971.85290509,24.967,8.291,2152.089795
2456971.85291667,25.035,8.375,2145.614827
2456971.85292824,25.103,8.459,2139.143501
2456971.85293981,25.172,8.543,2132.675861
2456971.85295139,25.241,8.627,2126.211945
2456971.85296296,25.310,8.712,2119.751796
2456971.85297454,25.380,8.797,2113.295458
2456971.85298611,25.451,8.883,2106.842974
2456971.85299769,25.522,8.968,2100.394387
2456971.85300926,25.593,9.054,2093.949743
2456971.85302083,25.665,9.141,2087.509084
2456971.85303241,25.737,9.227,2081.072455
2456971.85304398,25.810,9.314,2074.639904
2456971.85305556,25.883,9.402,2068.211476
2456971.85306713,25.956,9.489,2061.787217
2456971.85307870,26.031,9.577,2055.367176
2456971.85309028,26.105,9.666,2048.951400
2456971.85310185,26.180,9.754,2042.539936
2456971.85311343,26.256,9.843,2036.132834
2456971.85312500,26.332,9.933,2029.730143
2456971.85313657,26.408,10.022,2023.331913
2456971.85314815,26.485,10.112,2016.938195
2456971.85315972,26.563,10.202,2010.549040
2456971.85317130,26.641,10.293,2004.164499
2456971.85318287,26.720,10.384,1997.784627
2456971.85319444,26.799,10.476,1991.409472
2456971.85320602,26.878,10.567,1985.039092
2456971.85321759,26.959,10.660,1978.673539
2456971.85322917,27.039,10.752,1972.312868
2456971.85324074,27.121,10.845,1965.957135
2456971.85325231,27.202,10.938,1959.606396
2456971.85326389,27.285,11.032,1953.260708
2456971.85327546,27.368,11.126,1946.920129
2456971.85328704,27.451,11.220,1940.584715
2456971.85329861,27.535,11.315,1934.254526
2456971.85331019,27.620,11.410,1927.929621
2456971.85332176,27.705,11.505,1921.610061
2456971.85333333,27.791,11.601,1915.295907
2456971.85334491,27.877,11.697,1908.987220
2456971.85335648,27.965,11.794,1902.684063
2456971.85336806,28.052,11.891,1896.386499
2456971.85337963,28.141,11.989,1890.094593
2456971.85339120,28.229,12.086,1883.808407
2456971.85340278,28.319,12.185,1877.528008
2456971.85341435,28.409,12.283,1871.253462
2456971.85342593,28.500,12.383,1864.984836
2456971.85343750,28.592,12.482,1858.722199
2456971.85344907,28.684,12.582,1852.465618
2456971.85346065,28.777,12.682,1846.215164
2456971.85347222,28.870,12.783,1839.970907
2456971.85348380,28.964,12.884,1833.732917
2456971.85349537,29.059,12.986,1827.501268
2456971.85350694,29.155,13.088,1821.276034
2456971.85351852,29.251,13.191,1815.057285
2456971.85353009,29.348,13.294,1808.845099
2456971.85354167,29.446,13.397,1802.639550
2456971.85355324,29.544,13.501,1796.440716
2456971.85356481,29.644,13.605,1790.248674
2456971.85357639,29.743,13.710,1784.063503
2456971.85358796,29.844,13.815,1777.885282
2456971.85359954,29.946,13.921,1771.714092
2456971.85361111,30.048,14.027,1765.550015
2456971.85362269,30.151,14.133,1759.393134
2456971.85363426,30.255,14.241,1753.243531
2456971.85364583,30.360,14.348,1747.101292
2456971.85365741,30.465,14.456,1740.966503
2456971.85366898,30.571,14.565,1734.839251
2456971.85368056,30.678,14.674,1728.719623
2456971.85369213,30.786,14.783,1722.607708
2456971.85370370,30.895,14.893,1716.503597
2456971.85371528,31.005,15.004,1710.407384
2456971.85372685,31.115,15.115,1704.319156
2456971.85373843,31.227,15.226,1698.239010
2456971.85375000,31.339,15.338,1692.167040
2456971.85376157,31.452,15.451,1686.103343
2456971.85377315,31.566,15.564,1680.048016
2456971.85378472,31.681,15.677,1674.001158
2456971.85379630,31.797,15.791,1667.962868
2456971.85380787,31.914,15.906,1661.933248
2456971.85381944,32.032,16.021,1655.912400
2456971.85383102,32.151,16.136,1649.900428
2456971.85384259,32.271,16.253,1643.897437
2456971.85385417,32.392,16.369,1637.903533
2456971.85386574,32.514,16.486,1631.918825
2456971.85387731,32.636,16.604,1625.943422
2456971.85388889,32.760,16.723,1619.977434
2456971.85390046,32.885,16.841,1614.020974
2456971.85391204,33.011,16.961,1608.074154
2456971.85392361,33.138,17.081,1602.137091
2456971.85393519,33.266,17.201,1596.209901
2456971.85394676,33.395,17.322,1590.292701
2456971.85395833,33.526,17.444,1584.385612
2456971.85396991,33.657,17.566,1578.488754
2456971.85398148,33.790,17.689,1572.602250
2456971.85399306,33.923,17.813,1566.726224
2456971.85400463,34.058,17.937,1560.860803
2456971.85401620,34.194,18.061,1555.006115
2456971.85402778,34.332,18.186,1549.162289
2456971.85403935,34.470,18.312,1543.329454
2456971.85405093,34.610,18.438,1537.507745
2456971.85406250,34.751,18.565,1531.697296
2456971.85407407,34.893,18.693,1525.898242
2456971.85408565,35.036,18.821,1520.110722
2456971.85409722,35.181,18.950,1514.334876
2456971.85410880,35.327,19.079,1508.570845
2456971.85412037,35.474,19.209,1502.818772
2456971.85413194,35.623,19.340,1497.078804
2456971.85414352,35.773,19.471,1491.351086
2456971.85415509,35.925,19.603,1485.635769
2456971.85416667,36.077,19.735,1479.933002
2456971.85417824,36.232,19.868,1474.242941
2456971.85418981,36.387,20.002,1468.565740
2456971.85420139,36.544,20.136,1462.901556
2456971.85421296,36.703,20.271,1457.250548
2456971.85422454,36.863,20.407,1451.612877
2456971.85423611,37.024,20.543,1445.988708
2456971.85424769,37.187,20.680,1440.378204
2456971.85425926,37.352,20.817,1434.781535
2456971.85427083,37.518,20.955,1429.198868
2456971.85428241,37.686,21.094,1423.630378
2456971.85429398,37.855,21.234,1418.076239
2456971.85430556,38.026,21.374,1412.536627
2456971.85431713,38.199,21.514,1407.011721
2456971.85432870,38.373,21.656,1401.501702
2456971.85434028,38.549,21.798,1396.006753
2456971.85435185,38.726,21.940,1390.527059
2456971.85436343,38.906,22.084,1385.062811
2456971.85437500,39.087,22.228,1379.614199
