"Time (JDate)","Azimuth (deg)","Elevation (deg)","Range (km)"
2456971.48184028,278.207,4.571,2543.904441
2456971.48185185,278.378,4.567,2544.232116
2456971.48186343,278.549,4.564,2544.578193
2456971.48187500,278.721,4.560,2544.942662
2456971.48188657,278.892,4.556,2545.325515
2456971.48189815,279.063,4.552,2545.726745
2456971.48190972,279.234,4.548,2546.146336
2456971.48192130,279.405,4.544,2546.584280
2456971.48193287,279.576,4.539,2547.040566
2456971.48194444,279.747,4.534,2547.515184
2456971.48195602,279.918,4.529,2548.008122
2456971.48196759,280.089,4.524,2548.519367
2456971.48197917,280.259,4.518,2549.048910
2456971.48199074,280.430,4.513,2549.596732
2456971.48200231,280.600,4.507,2550.162823
2456971.48201389,280.771,4.501,2550.747169
2456971.48202546,280.941,4.495,2551.349756
2456971.48203704,281.112,4.488,2551.970572
2456971.48204861,281.282,4.482,2552.609597
2456971.48206019,281.452,4.475,2553.266818
2456971.48207176,281.622,4.468,2553.942220
2456971.48208333,281.792,4.461,2554.635786
2456971.48209491,281.962,4.453,2555.347504
2456971.48210648,282.132,4.446,2556.077349
2456971.48211806,282.301,4.438,2556.825308
2456971.48212963,282.471,4.430,2557.591364
2456971.48214120,282.640,4.422,2558.375501
2456971.48215278,282.810,4.414,2559.177695
2456971.48216435,282.979,4.405,2559.997929
2456971.48217593,283.148,4.396,2560.836186
2456971.48218750,283.317,4.387,2561.692448
2456971.48219907,283.486,4.378,2562.566689
2456971.48221065,283.655,4.369,2563.458892
2456971.48222222,283.823,4.359,2564.369040
2456971.48223380,283.992,4.350,2565.297106
2456971.48224537,284.160,4.340,2566.243070
2456971.48225694,284.329,4.330,2567.206915
2456971.48226852,284.497,4.320,2568.188612
2456971.48228009,284.665,4.309,2569.188142
2456971.48229167,284.833,4.299,2570.205485
2456971.48230324,285.000,4.288,2571.240611
2456971.48231481,285.168,4.277,2572.293501
2456971.48232639,285.335,4.266,2573.364133
2456971.48233796,285.503,4.254,2574.452477
2456971.48234954,285.670,4.243,2575.558511
2456971.48236111,285.837,4.231,2576.682214
2456971.48237269,286.004,4.219,2577.823555
2456971.48238426,286.171,4.207,2578.982510
2456971.48239583,286.337,4.195,2580.159057
2456971.48240741,286.504,4.182,2581.353163
2456971.48241898,286.670,4.170,2582.564809
2456971.48243056,286.836,4.157,2583.793960
2456971.48244213,287.002,4.144,2585.040593
2456971.48245370,287.168,4.131,2586.304683
2456971.48246528,287.333,4.117,2587.586196
2456971.48247685,287.499,4.104,2588.885111
2456971.48248843,287.664,4.090,2590.201391
2456971.48250000,287.829,4.076,2591.535016
2456971.48251157,287.994,4.062,2592.885949
2456971.48252315,288.159,4.048,2594.254168
2456971.48253472,288.323,4.033,2595.639635
2456971.48254630,288.488,4.019,2597.042325
2456971.48255787,288.652,4.004,2598.462209
2456971.48256944,288.816,3.989,2599.899252
2456971.48258102,288.980,3.974,2601.353428
2456971.48259259,289.144,3.959,2602.824701
2456971.48260417,289.307,3.943,2604.313044
2456971.48261574,289.470,3.928,2605.818419
2456971.48262731,289.633,3.912,2607.340801
2456971.48263889,289.796,3.896,2608.880152
2456971.48265046,289.959,3.880,2610.436444
2456971.48266204,290.122,3.864,2612.009638
2456971.48267361,290.284,3.847,2613.599709
2456971.48268519,290.446,3.831,2615.206619
2456971.48269676,290.608,3.814,2616.830330
2456971.48270833,290.770,3.797,2618.470817
2456971.48271991,290.931,3.780,2620.128037
2456971.48273148,291.092,3.763,2621.801963
2456971.48274306,291.253,3.745,2623.492555
2456971.48275463,291.414,3.728,2625.199782
2456971.48276620,291.575,3.710,2626.923604
2456971.48277778,291.735,3.692,2628.663991
2456971.48278935,291.896,3.674,2630.420905
2456971.48280093,292.056,3.656,2632.194306
2456971.48281250,292.215,3.637,2633.984165
2456971.48282407,292.375,3.619,2635.790439
2456971.48283565,292.534,3.600,2637.613098
2456971.48284722,292.693,3.581,2639.452101
2456971.48285880,292.852,3.562,2641.307408
2456971.48287037,293.011,3.543,2643.178989
2456971.48288194,293.170,3.524,2645.066799
2456971.48289352,293.328,3.504,2646.970807
2456971.48290509,293.486,3.485,2648.890973
2456971.48291667,293.643,3.465,2650.827254
2456971.48292824,293.801,3.445,2652.779619
2456971.48293981,293.958,3.425,2654.748025
2456971.48295139,294.115,3.405,2656.732432
2456971.48296296,294.272,3.384,2658.732807
2456971.48297454,294.429,3.364,2660.749106
2456971.48298611,294.585,3.343,2662.781288
2456971.48299769,294.741,3.322,2664.829320
2456971.48300926,294.897,3.301,2666.893159
2456971.48302083,295.053,3.280,2668.972761
2456971.48303241,295.208,3.259,2671.068093
2456971.48304398,295.363,3.238,2673.179112
2456971.48305556,295.518,3.216,2675.305774
2456971.48306713,295.673,3.195,2677.448045
2456971.48307870,295.827,3.173,2679.605881
2456971.48309028,295.981,3.151,2681.779241
2456971.48310185,296.135,3.129,2683.968081
2456971.48311343,296.289,3.107,2686.172367
2456971.48312500,296.442,3.084,2688.392053
2456971.48313657,296.595,3.062,2690.627098
2456971.48314815,296.748,3.039,2692.877458
2456971.48315972,296.901,3.016,2695.143097
2456971.48317130,297.053,2.993,2697.423969
2456971.48318287,297.205,2.970,2699.720034
2456971.48319444,297.357,2.947,2702.031246
2456971.48320602,297.508,2.924,2704.357568
2456971.48321759,297.660,2.901,2706.698955
2456971.48322917,297.811,2.877,2709.055364
2456971.48324074,297.962,2.853,2711.426751
2456971.48325231,298.112,2.830,2713.813077
2456971.48326389,298.262,2.806,2716.214298
2456971.48327546,298.412,2.782,2718.630370
2456971.48328704,298.562,2.758,2721.061250
2456971.48329861,298.711,2.733,2723.506892
2456971.48331019,298.861,2.709,2725.967259
2456971.48332176,299.010,2.684,2728.442303
2456971.48333333,299.158,2.660,2730.931982
2456971.48334491,299.307,2.635,2733.436252
2456971.48335648,299.455,2.610,2735.955070
2456971.48336806,299.603,2.585,2738.488387
2456971.48337963,299.750,2.560,2741.036167
2456971.48339120,299.897,2.535,2743.598363
2456971.48340278,300.044,2.509,2746.174930
2456971.48341435,300.191,2.484,2748.765825
2456971.48342593,300.337,2.458,2751.371002
2456971.48343750,300.484,2.432,2753.990419
2456971.48344907,300.630,2.406,2756.624029
