"Time (JDate)","Azimuth (deg)","Elevation (deg)","Range (km)"
2456971.51969907,264.981,20.700,1488.487013
2456971.51971065,264.705,20.626,1491.543032
2456971.51972222,264.432,20.551,1494.627722
2456971.51973380,264.159,20.476,1497.740901
2456971.51974537,263.888,20.401,1500.882389
2456971.51975694,263.619,20.325,1504.052003
2456971.51976852,263.351,20.249,1507.249562
2456971.51978009,263.084,20.172,1510.474884
2456971.51979167,262.819,20.095,1513.727788
2456971.51980324,262.555,20.018,1517.008093
2456971.51981481,262.292,19.941,1520.315618
2456971.51982639,262.031,19.863,1523.650178
2456971.51983796,261.772,19.785,1527.011593
2456971.51984954,261.513,19.706,1530.399682
2456971.51986111,261.257,19.628,1533.814264
2456971.51987269,261.001,19.549,1537.255158
2456971.51988426,260.747,19.469,1540.722183
2456971.51989583,260.495,19.390,1544.215159
2456971.51990741,260.243,19.310,1547.733908
2456971.51991898,259.994,19.230,1551.278245
2456971.51993056,259.745,19.150,1554.847993
2456971.51994213,259.498,19.069,1558.442973
2456971.51995370,259.253,18.988,1562.063005
2456971.51996528,259.008,18.907,1565.707915
2456971.51997685,258.766,18.826,1569.377518
2456971.51998843,258.524,18.745,1573.071641
2456971.52000000,258.284,18.663,1576.790105
2456971.52001157,258.046,18.581,1580.532737
2456971.52002315,257.808,18.499,1584.299355
2456971.52003472,257.572,18.417,1588.089787
2456971.52004630,257.338,18.335,1591.903858
2456971.52005787,257.105,18.253,1595.741396
2456971.52006944,256.873,18.170,1599.602221
2456971.52008102,256.642,18.087,1603.486163
2456971.52009259,256.413,18.005,1607.393050
2456971.52010417,256.185,17.922,1611.322713
2456971.52011574,255.959,17.838,1615.274975
2456971.52012731,255.734,17.755,1619.249667
2456971.52013889,255.510,17.672,1623.246624
2456971.52015046,255.288,17.589,1627.265669
2456971.52016204,255.067,17.505,1631.306638
2456971.52017361,254.847,17.421,1635.369366
2456971.52018519,254.628,17.338,1639.453680
2456971.52019676,254.411,17.254,1643.559420
2456971.52020833,254.195,17.170,1647.686414
2456971.52021991,253.980,17.086,1651.834501
2456971.52023148,253.767,17.002,1656.003520
2456971.52024306,253.555,16.918,1660.193301
2456971.52025463,253.344,16.834,1664.403687
2456971.52026620,253.135,16.750,1668.634519
2456971.52027778,252.927,16.666,1672.885629
2456971.52028935,252.720,16.582,1677.156865
2456971.52030093,252.514,16.498,1681.448062
2456971.52031250,252.309,16.414,1685.759067
2456971.52032407,252.106,16.330,1690.089718
2456971.52033565,251.904,16.245,1694.439862
2456971.52034722,251.703,16.161,1698.809346
2456971.52035880,251.504,16.077,1703.198009
2456971.52037037,251.305,15.993,1707.605706
2456971.52038194,251.108,15.908,1712.032276
2456971.52039352,250.912,15.824,1716.477575
2456971.52040509,250.717,15.740,1720.941445
2456971.52041667,250.524,15.656,1725.423742
2456971.52042824,250.331,15.572,1729.924313
2456971.52043981,250.140,15.488,1734.443014
2456971.52045139,249.950,15.403,1738.979693
2456971.52046296,249.761,15.319,1743.534210
2456971.52047454,249.573,15.235,1748.106414
2456971.52048611,249.387,15.151,1752.696166
2456971.52049769,249.201,15.067,1757.303316
2456971.52050926,249.017,14.984,1761.927730
2456971.52052083,248.833,14.900,1766.569259
2456971.52053241,248.651,14.816,1771.227769
2456971.52054398,248.470,14.732,1775.903117
2456971.52055556,248.290,14.649,1780.595163
2456971.52056713,248.112,14.565,1785.303773
2456971.52057870,247.934,14.481,1790.028807
2456971.52059028,247.757,14.398,1794.770133
2456971.52060185,247.582,14.315,1799.527612
2456971.52061343,247.407,14.231,1804.301115
2456971.52062500,247.234,14.148,1809.090506
2456971.52063657,247.062,14.065,1813.895652
2456971.52064815,246.890,13.982,1818.716426
2456971.52065972,246.720,13.899,1823.552693
2456971.52067130,246.551,13.816,1828.404330
2456971.52068287,246.383,13.733,1833.271206
2456971.52069444,246.216,13.651,1838.153190
2456971.52070602,246.049,13.568,1843.050163
2456971.52071759,245.884,13.485,1847.961995
2456971.52072917,245.720,13.403,1852.888560
2456971.52074074,245.557,13.321,1857.829741
2456971.52075231,245.395,13.239,1862.785411
2456971.52076389,245.234,13.156,1867.755446
2456971.52077546,245.074,13.074,1872.739733
2456971.52078704,244.914,12.993,1877.738143
2456971.52079861,244.756,12.911,1882.750567
2456971.52081019,244.599,12.829,1887.776881
2456971.52082176,244.443,12.748,1892.816969
2456971.52083333,244.287,12.666,1897.870713
2456971.52084491,244.133,12.585,1902.938003
2456971.52085648,243.979,12.504,1908.018722
2456971.52086806,243.827,12.423,1913.112753
2456971.52087963,243.675,12.342,1918.219990
2456971.52089120,243.524,12.261,1923.340318
2456971.52090278,243.375,12.180,1928.473624
2456971.52091435,243.226,12.100,1933.619805
2456971.52092593,243.078,12.019,1938.778747
2456971.52093750,242.930,11.939,1943.950343
2456971.52094907,242.784,11.859,1949.134483
2456971.52096065,242.639,11.779,1954.331066
2456971.52097222,242.494,11.699,1959.539984
2456971.52098380,242.351,11.619,1964.761130
2456971.52099537,242.208,11.540,1969.994405
2456971.52100694,242.066,11.460,1975.239703
2456971.52101852,241.925,11.381,1980.496924
2456971.52103009,241.785,11.302,1985.765961
2456971.52104167,241.645,11.222,1991.046722
2456971.52105324,241.507,11.144,1996.339102
2456971.52106481,241.369,11.065,2001.643005
2456971.52107639,241.232,10.986,2006.958331
2456971.52108796,241.096,10.908,2012.284980
2456971.52109954,240.960,10.829,2017.622862
2456971.52111111,240.826,10.751,2022.971879
2456971.52112269,240.692,10.673,2028.331935
2456971.52113426,240.559,10.595,2033.702934
2456971.52114583,240.427,10.517,2039.084789
2456971.52115741,240.296,10.440,2044.477404
2456971.52116898,240.165,10.362,2049.880687
2456971.52118056,240.035,10.285,2055.294548
2456971.52119213,239.906,10.207,2060.718894
2456971.52120370,239.778,10.130,2066.153641
2456971.52121528,239.650,10.053,2071.598697
2456971.52122685,239.523,9.977,2077.053975
2456971.52123843,239.397,9.900,2082.519388
2456971.52125000,239.272,9.824,2087.994848
2456971.52126157,239.147,9.747,2093.480269
2456971.52127315,239.023,9.671,2098.975570
2456971.52128472,238.900,9.595,2104.480664
2456971.52129630,238.777,9.519,2109.995468
2456971.52130787,238.656,9.444,2115.519899
2456971.52131944,238.534,9.368,2121.053876
2456971.52133102,238.414,9.293,2126.597313
2456971.52134259,238.294,9.217,2132.150135
2456971.52135417,238.175,9.142,2137.712261
2456971.52136574,238.057,9.067,2143.283610
2456971.52137731,237.939,8.992,2148.864104
2456971.52138889,237.822,8.918,2154.453665
2456971.52140046,237.706,8.843,2160.052216
2456971.52141204,237.590,8.769,2165.659676
2456971.52142361,237.475,8.695,2171.275976
2456971.52143519,237.361,8.621,2176.901038
2456971.52144676,237.247,8.547,2182.534786
2456971.52145833,237.134,8.473,2188.177147
2456971.52146991,237.022,8.399,2193.828048
2456971.52148148,236.910,8.326,2199.487414
2456971.52149306,236.799,8.253,2205.155175
2456971.52150463,236.688,8.179,2210.831256
2456971.52151620,236.578,8.106,2216.515591
2456971.52152778,236.469,8.034,2222.208107
2456971.52153935,236.360,7.961,2227.908734
2456971.52155093,236.252,7.888,2233.617404
2456971.52156250,236.145,7.816,2239.334048
2456971.52157407,236.038,7.744,2245.058597
2456971.52158565,235.931,7.672,2250.790985
2456971.52159722,235.826,7.600,2256.531144
2456971.52160880,235.721,7.528,2262.279008
2456971.52162037,235.616,7.456,2268.034511
2456971.52163194,235.512,7.385,2273.797587
2456971.52164352,235.409,7.313,2279.568174
2456971.52165509,235.306,7.242,2285.346207
2456971.52166667,235.204,7.171,2291.131623
2456971.52167824,235.102,7.100,2296.924358
