"Time (JDate)","Azimuth (deg)","Elevation (deg)","Range (km)"
2456971.87064815,101.844,5.463,2378.581339
2456971.87065972,102.023,5.443,2380.253635
2456971.87067130,102.202,5.423,2381.945120
2456971.87068287,102.380,5.403,2383.655754
2456971.87069444,102.559,5.382,2385.385488
2456971.87070602,102.736,5.362,2387.134288
2456971.87071759,102.914,5.341,2388.902104
2456971.87072917,103.092,5.320,2390.688898
2456971.87074074,103.269,5.299,2392.494621
2456971.87075231,103.446,5.278,2394.319233
2456971.87076389,103.622,5.256,2396.162692
2456971.87077546,103.798,5.235,2398.024947
2456971.87078704,103.974,5.213,2399.905957
2456971.87079861,104.150,5.191,2401.805679
2456971.87081019,104.326,5.168,2403.724062
2456971.87082176,104.501,5.146,2405.661067
2456971.87083333,104.676,5.123,2407.616640
2456971.87084491,104.850,5.100,2409.590739
2456971.87085648,105.024,5.077,2411.583320
2456971.87086806,105.198,5.054,2413.594329
2456971.87087963,105.372,5.031,2415.623722
2456971.87089120,105.546,5.007,2417.671456
2456971.87090278,105.719,4.984,2419.737476
2456971.87091435,105.891,4.960,2421.821736
2456971.87092593,106.064,4.936,2423.924188
2456971.87093750,106.236,4.912,2426.044787
2456971.87094907,106.408,4.887,2428.183478
2456971.87096065,106.579,4.863,2430.340214
2456971.87097222,106.751,4.838,2432.514949
2456971.87098380,106.921,4.813,2434.707627
2456971.87099537,107.092,4.788,2436.918202
2456971.87100694,107.262,4.763,2439.146622
2456971.87101852,107.432,4.737,2441.392842
2456971.87103009,107.602,4.712,2443.656803
2456971.87104167,107.771,4.686,2445.938458
2456971.87105324,107.940,4.660,2448.237757
2456971.87106481,108.109,4.634,2450.554650
2456971.87107639,108.277,4.608,2452.889080
2456971.87108796,108.445,4.581,2455.240999
2456971.87109954,108.613,4.555,2457.610354
2456971.87111111,108.780,4.528,2459.997097
2456971.87112269,108.947,4.501,2462.401169
2456971.87113426,109.114,4.474,2464.822520
2456971.87114583,109.280,4.447,2467.261099
2456971.87115741,109.446,4.420,2469.716851
2456971.87116898,109.612,4.392,2472.189725
2456971.87118056,109.777,4.365,2474.679670
2456971.87119213,109.942,4.337,2477.186626
2456971.87120370,110.107,4.309,2479.710543
2456971.87121528,110.271,4.281,2482.251367
2456971.87122685,110.435,4.253,2484.809045
2456971.87123843,110.599,4.224,2487.383523
2456971.87125000,110.762,4.196,2489.974749
2456971.87126157,110.925,4.167,2492.582663
2456971.87127315,111.087,4.138,2495.207215
2456971.87128472,111.250,4.109,2497.848348
2456971.87129630,111.411,4.080,2500.506010
2456971.87130787,111.573,4.051,2503.180144
2456971.87131944,111.734,4.022,2505.870697
2456971.87133102,111.895,3.992,2508.577613
2456971.87134259,112.055,3.963,2511.300837
2456971.87135417,112.215,3.933,2514.040318
2456971.87136574,112.375,3.903,2516.795993
2456971.87137731,112.535,3.873,2519.567810
