"Time (JDate)","Azimuth (deg)","Elevation (deg)","Range (km)"
2456971.73910880,69.653,9.629,1827.537512
2456971.73912037,69.883,9.662,1825.220261
2456971.73913194,70.114,9.695,1822.928089
2456971.73914352,70.345,9.727,1820.661099
2456971.73915509,70.577,9.760,1818.419388
2456971.73916667,70.810,9.792,1816.203052
2456971.73917824,71.043,9.823,1814.012185
2456971.73918981,71.277,9.854,1811.846889
2456971.73920139,71.512,9.885,1809.707256
2456971.73921296,71.747,9.916,1807.593382
2456971.73922454,71.982,9.946,1805.505356
2456971.73923611,72.219,9.976,1803.443279
2456971.73924769,72.455,10.006,1801.407240
2456971.73925926,72.693,10.035,1799.397327
2456971.73927083,72.931,10.064,1797.413639
2456971.73928241,73.169,10.092,1795.456262
2456971.73929398,73.408,10.121,1793.525282
2456971.73930556,73.648,10.148,1791.620795
2456971.73931713,73.888,10.176,1789.742885
2456971.73932870,74.129,10.203,1787.891637
2456971.73934028,74.370,10.230,1786.067141
2456971.73935185,74.611,10.256,1784.269479
2456971.73936343,74.854,10.282,1782.498739
2456971.73937500,75.096,10.308,1780.755003
2456971.73938657,75.340,10.334,1779.038350
2456971.73939815,75.583,10.358,1777.348868
2456971.73940972,75.828,10.383,1775.686630
2456971.73942130,76.072,10.407,1774.051724
2456971.73943287,76.318,10.431,1772.444220
2456971.73944444,76.563,10.455,1770.864204
2456971.73945602,76.809,10.478,1769.311745
2456971.73946759,77.056,10.500,1767.786925
2456971.73947917,77.303,10.523,1766.289812
2456971.73949074,77.551,10.545,1764.820486
2456971.73950231,77.799,10.566,1763.379013
2456971.73951389,78.047,10.587,1761.965470
2456971.73952546,78.296,10.608,1760.579921
2456971.73953704,78.545,10.628,1759.222441
2456971.73954861,78.795,10.648,1757.893092
2456971.73956019,79.045,10.668,1756.591945
2456971.73957176,79.295,10.687,1755.319061
2456971.73958333,79.546,10.705,1754.074509
2456971.73959491,79.797,10.724,1752.858346
2456971.73960648,80.049,10.741,1751.670637
2456971.73961806,80.300,10.759,1750.511446
2456971.73962963,80.553,10.776,1749.380825
2456971.73964120,80.805,10.792,1748.278838
2456971.73965278,81.058,10.808,1747.205535
2456971.73966435,81.312,10.824,1746.160975
2456971.73967593,81.565,10.839,1745.145216
2456971.73968750,81.819,10.854,1744.158302
2456971.73969907,82.073,10.869,1743.200288
2456971.73971065,82.328,10.883,1742.271229
2456971.73972222,82.583,10.896,1741.371165
2456971.73973380,82.838,10.909,1740.500146
2456971.73974537,83.093,10.922,1739.658220
2456971.73975694,83.349,10.934,1738.845432
2456971.73976852,83.605,10.946,1738.061820
2456971.73978009,83.861,10.957,1737.307428
2456971.73979167,84.117,10.968,1736.582297
2456971.73980324,84.374,10.978,1735.886467
2456971.73981481,84.630,10.988,1735.219970
2456971.73982639,84.887,10.998,1734.582844
2456971.73983796,85.145,11.007,1733.975124
2456971.73984954,85.402,11.016,1733.396846
2456971.73986111,85.660,11.024,1732.848034
2456971.73987269,85.917,11.031,1732.328721
2456971.73988426,86.175,11.039,1731.838935
2456971.73989583,86.433,11.045,1731.378703
2456971.73990741,86.692,11.052,1730.948051
2456971.73991898,86.950,11.058,1730.547005
2456971.73993056,87.208,11.063,1730.175580
2456971.73994213,87.467,11.068,1729.833800
2456971.73995370,87.726,11.072,1729.521685
2456971.73996528,87.984,11.076,1729.239252
2456971.73997685,88.243,11.080,1728.986517
2456971.73998843,88.502,11.083,1728.763493
2456971.74000000,88.761,11.086,1728.570195
2456971.74001157,89.020,11.088,1728.406632
2456971.74002315,89.279,11.089,1728.272816
2456971.74003472,89.538,11.091,1728.168753
2456971.74004630,89.798,11.091,1728.094451
2456971.74005787,90.057,11.092,1728.049913
2456971.74006944,90.316,11.092,1728.035145
2456971.74008102,90.575,11.091,1728.050147
2456971.74009259,90.834,11.090,1728.094919
2456971.74010417,91.093,11.088,1728.169461
2456971.74011574,91.353,11.086,1728.273769
2456971.74012731,91.612,11.084,1728.407839
2456971.74013889,91.871,11.081,1728.571665
2456971.74015046,92.130,11.077,1728.765239
2456971.74016204,92.389,11.073,1728.988552
2456971.74017361,92.648,11.069,1729.241592
2456971.74018519,92.906,11.064,1729.524349
2456971.74019676,93.165,11.059,1729.836808
2456971.74020833,93.424,11.053,1730.178952
2456971.74021991,93.682,11.047,1730.550766
2456971.74023148,93.940,11.040,1730.952231
2456971.74024306,94.198,11.033,1731.383324
2456971.74025463,94.456,11.025,1731.844028
2456971.74026620,94.714,11.017,1732.334319
2456971.74027778,94.972,11.009,1732.854171
2456971.74028935,95.230,11.000,1733.403557
2456971.74030093,95.487,10.991,1733.982451
2456971.74031250,95.744,10.981,1734.590819
2456971.74032407,96.001,10.970,1735.228638
2456971.74033565,96.258,10.960,1735.895872
2456971.74034722,96.514,10.948,1736.592487
2456971.74035880,96.771,10.937,1737.318445
2456971.74037037,97.027,10.924,1738.073716
2456971.74038194,97.283,10.912,1738.858257
2456971.74039352,97.538,10.899,1739.672031
2456971.74040509,97.794,10.885,1740.514992
2456971.74041667,98.049,10.872,1741.387104
2456971.74042824,98.303,10.857,1742.288322
2456971.74043981,98.558,10.842,1743.218598
2456971.74045139,98.812,10.827,1744.177883
2456971.74046296,99.066,10.812,1745.166137
2456971.74047454,99.319,10.795,1746.183306
2456971.74048611,99.573,10.779,1747.229335
2456971.74049769,99.826,10.762,1748.304181
2456971.74050926,100.078,10.745,1749.407785
2456971.74052083,100.330,10.727,1750.540090
2456971.74053241,100.582,10.709,1751.701047
2456971.74054398,100.834,10.690,1752.890591
2456971.74055556,101.085,10.671,1754.108671
2456971.74056713,101.336,10.651,1755.355223
2456971.74057870,101.586,10.632,1756.630183
2456971.74059028,101.836,10.611,1757.933495
2456971.74060185,102.085,10.591,1759.265088
2456971.74061343,102.335,10.570,1760.624905
2456971.74062500,102.583,10.548,1762.012874
2456971.74063657,102.832,10.526,1763.428932
2456971.74064815,103.080,10.504,1764.873007
2456971.74065972,103.327,10.481,1766.345033
2456971.74067130,103.574,10.458,1767.844935
2456971.74068287,103.820,10.435,1769.372648
2456971.74069444,104.067,10.411,1770.928091
2456971.74070602,104.312,10.386,1772.511197
2456971.74071759,104.557,10.362,1774.121886
2456971.74072917,104.802,10.337,1775.760086
2456971.74074074,105.046,10.311,1777.425716
2456971.74075231,105.290,10.286,1779.118702
2456971.74076389,105.533,10.259,1780.838960
2456971.74077546,105.775,10.233,1782.586416
2456971.74078704,106.018,10.206,1784.360983
2456971.74079861,106.259,10.179,1786.162581
2456971.74081019,106.500,10.151,1787.991131
2456971.74082176,106.741,10.123,1789.846542
2456971.74083333,106.981,10.095,1791.728737
2456971.74084491,107.220,10.066,1793.637623
2456971.74085648,107.459,10.037,1795.573117
2456971.74086806,107.698,10.008,1797.535135
2456971.74087963,107.935,9.978,1799.523582
2456971.74089120,108.173,9.948,1801.538373
2456971.74090278,108.409,9.918,1803.579420
2456971.74091435,108.645,9.887,1805.646627
2456971.74092593,108.881,9.856,1807.739906
2456971.74093750,109.116,9.825,1809.859168
2456971.74094907,109.350,9.793,1812.004314
2456971.74096065,109.584,9.761,1814.175253
2456971.74097222,109.817,9.729,1816.371891
2456971.74098380,110.050,9.696,1818.594138
2456971.74099537,110.281,9.663,1820.841889
2456971.74100694,110.513,9.630,1823.115054
2456971.74101852,110.743,9.596,1825.413534
2456971.74103009,110.974,9.562,1827.737236
2456971.74104167,111.203,9.528,1830.086056
2456971.74105324,111.432,9.494,1832.459898
2456971.74106481,111.660,9.459,1834.858663
2456971.74107639,111.887,9.424,1837.282252
2456971.74108796,112.114,9.389,1839.730567
2456971.74109954,112.341,9.353,1842.203502
2456971.74111111,112.566,9.317,1844.700958
2456971.74112269,112.791,9.281,1847.222834
2456971.74113426,113.015,9.244,1849.769029
2456971.74114583,113.239,9.208,1852.339439
2456971.74115741,113.462,9.171,1854.933965
2456971.74116898,113.684,9.134,1857.552497
2456971.74118056,113.906,9.096,1860.194935
2456971.74119213,114.127,9.058,1862.861175
2456971.74120370,114.347,9.020,1865.551112
2456971.74121528,114.567,8.982,1868.264642
2456971.74122685,114.786,8.943,1871.001659
2456971.74123843,115.004,8.905,1873.762059
2456971.74125000,115.222,8.866,1876.545736
2456971.74126157,115.439,8.827,1879.352583
2456971.74127315,115.655,8.787,1882.182498
2456971.74128472,115.870,8.747,1885.035368
2456971.74129630,116.085,8.707,1887.911089
2456971.74130787,116.299,8.667,1890.809555
2456971.74131944,116.513,8.627,1893.730659
2456971.74133102,116.725,8.586,1896.674293
2456971.74134259,116.937,8.545,1899.640350
2456971.74135417,117.149,8.504,1902.628723
2456971.74136574,117.359,8.463,1905.639303
2456971.74137731,117.569,8.422,1908.671983
2456971.74138889,117.779,8.380,1911.726655
2456971.74140046,117.987,8.338,1914.803210
2456971.74141204,118.195,8.296,1917.901541
2456971.74142361,118.402,8.254,1921.021539
2456971.74143519,118.608,8.212,1924.163096
2456971.74144676,118.814,8.169,1927.326104
2456971.74145833,119.019,8.126,1930.510452
2456971.74146991,119.223,8.083,1933.716036
2456971.74148148,119.427,8.040,1936.942745
2456971.74149306,119.630,7.997,1940.190471
2456971.74150463,119.832,7.953,1943.459106
2456971.74151620,120.033,7.909,1946.748541
2456971.74152778,120.234,7.865,1950.058667
2456971.74153935,120.434,7.821,1953.389377
2456971.74155093,120.633,7.777,1956.740562
2456971.74156250,120.832,7.733,1960.112113
2456971.74157407,121.029,7.688,1963.503920
2456971.74158565,121.227,7.644,1966.915881
2456971.74159722,121.423,7.599,1970.347885
2456971.74160880,121.619,7.554,1973.799823
2456971.74162037,121.814,7.509,1977.271588
2456971.74163194,122.008,7.463,1980.763072
2456971.74164352,122.201,7.418,1984.274168
2456971.74165509,122.394,7.372,1987.804766
2456971.74166667,122.586,7.327,1991.354764
2456971.74167824,122.777,7.281,1994.924053
2456971.74168981,122.968,7.235,1998.512525
2456971.74170139,123.158,7.189,2002.120074
2456971.74171296,123.347,7.142,2005.746590
2456971.74172454,123.536,7.096,2009.391973
2456971.74173611,123.724,7.050,2013.056114
2456971.74174769,123.911,7.003,2016.738907
2456971.74175926,124.097,6.956,2020.440246
2456971.74177083,124.283,6.909,2024.160024
2456971.74178241,124.468,6.862,2027.898140
