"Time (JDate)","Azimuth (deg)","Elevation (deg)","Range (km)"
2456971.48596065,7.319,17.609,1631.652996
2456971.48597222,7.287,17.743,1625.131250
2456971.48598380,7.254,17.878,1618.614869
2456971.48599537,7.221,18.013,1612.103925
2456971.48600694,7.188,18.150,1605.598492
2456971.48601852,7.154,18.288,1599.098645
2456971.48603009,7.120,18.426,1592.604461
2456971.48604167,7.085,18.565,1586.116017
2456971.48605324,7.050,18.705,1579.633392
2456971.48606481,7.015,18.846,1573.156664
2456971.48607639,6.980,18.988,1566.685917
2456971.48608796,6.944,19.131,1560.221231
2456971.48609954,6.907,19.275,1553.762690
2456971.48611111,6.870,19.419,1547.310378
2456971.48612269,6.833,19.565,1540.864383
2456971.48613426,6.795,19.712,1534.424791
2456971.48614583,6.757,19.859,1527.991691
2456971.48615741,6.719,20.008,1521.565173
2456971.48616898,6.680,20.157,1515.145329
2456971.48618056,6.640,20.308,1508.732252
2456971.48619213,6.601,20.459,1502.326036
2456971.48620370,6.560,20.612,1495.926777
2456971.48621528,6.519,20.765,1489.534572
2456971.48622685,6.478,20.920,1483.149521
2456971.48623843,6.437,21.075,1476.771724
2456971.48625000,6.394,21.232,1470.401284
2456971.48626157,6.352,21.390,1464.038303
2456971.48627315,6.308,21.549,1457.682888
2456971.48628472,6.265,21.709,1451.335144
2456971.48629630,6.220,21.870,1444.995183
2456971.48630787,6.176,22.032,1438.663113
2456971.48631944,6.130,22.195,1432.339047
2456971.48633102,6.085,22.360,1426.023099
2456971.48634259,6.038,22.525,1419.715386
2456971.48635417,5.991,22.692,1413.416025
2456971.48636574,5.944,22.860,1407.125136
2456971.48637731,5.896,23.030,1400.842842
2456971.48638889,5.847,23.200,1394.569264
2456971.48640046,5.798,23.372,1388.304530
2456971.48641204,5.748,23.545,1382.048768
2456971.48642361,5.697,23.719,1375.802107
2456971.48643519,5.646,23.895,1369.564679
2456971.48644676,5.594,24.071,1363.336619
2456971.48645833,5.541,24.250,1357.118063
2456971.48646991,5.488,24.429,1350.909151
2456971.48648148,5.434,24.610,1344.710023
2456971.48649306,5.380,24.792,1338.520823
2456971.48650463,5.325,24.976,1332.341696
2456971.48651620,5.269,25.161,1326.172791
2456971.48652778,5.212,25.347,1320.014259
2456971.48653935,5.154,25.535,1313.866253
2456971.48655093,5.096,25.724,1307.728930
2456971.48656250,5.037,25.915,1301.602447
2456971.48657407,4.977,26.107,1295.486966
2456971.48658565,4.917,26.301,1289.382651
2456971.48659722,4.855,26.496,1283.289668
2456971.48660880,4.793,26.692,1277.208188
2456971.48662037,4.730,26.891,1271.138384
