"Time (JDate)","Azimuth (deg)","Elevation (deg)","Range (km)"
2456971.70086806,48.242,9.776,2187.013958
2456971.70087963,48.044,9.760,2188.265890
2456971.70089120,47.846,9.743,2189.540358
2456971.70090278,47.648,9.726,2190.837319
2456971.70091435,47.451,9.708,2192.156738
2456971.70092593,47.254,9.691,2193.498568
2456971.70093750,47.058,9.673,2194.862771
2456971.70094907,46.861,9.654,2196.249301
2456971.70096065,46.665,9.636,2197.658117
2456971.70097222,46.469,9.617,2199.089171
2456971.70098380,46.274,9.598,2200.542424
2456971.70099537,46.079,9.578,2202.017828
2456971.70100694,45.884,9.559,2203.515334
2456971.70101852,45.689,9.539,2205.034900
2456971.70103009,45.495,9.518,2206.576476
2456971.70104167,45.301,9.498,2208.140019
2456971.70105324,45.107,9.477,2209.725475
2456971.70106481,44.913,9.456,2211.332798
2456971.70107639,44.720,9.435,2212.961942
2456971.70108796,44.527,9.413,2214.612852
2456971.70109954,44.335,9.391,2216.285482
2456971.70111111,44.143,9.369,2217.979778
2456971.70112269,43.951,9.346,2219.695693
2456971.70113426,43.759,9.324,2221.433170
2456971.70114583,43.568,9.301,2223.192161
2456971.70115741,43.377,9.277,2224.972611
2456971.70116898,43.187,9.254,2226.774467
2456971.70118056,42.997,9.230,2228.597678
2456971.70119213,42.807,9.206,2230.442185
2456971.70120370,42.617,9.182,2232.307937
2456971.70121528,42.428,9.158,2234.194881
2456971.70122685,42.239,9.133,2236.102956
2456971.70123843,42.051,9.108,2238.032111
2456971.70125000,41.863,9.082,2239.982285
2456971.70126157,41.675,9.057,2241.953425
2456971.70127315,41.488,9.031,2243.945474
2456971.70128472,41.301,9.005,2245.958371
2456971.70129630,41.114,8.979,2247.992059
2456971.70130787,40.928,8.953,2250.046484
2456971.70131944,40.742,8.926,2252.121581
2456971.70133102,40.557,8.899,2254.217294
2456971.70134259,40.372,8.872,2256.333566
2456971.70135417,40.187,8.844,2258.470331
2456971.70136574,40.003,8.817,2260.627533
2456971.70137731,39.819,8.789,2262.805110
2456971.70138889,39.635,8.761,2265.003004
2456971.70140046,39.452,8.732,2267.221149
2456971.70141204,39.269,8.704,2269.459485
2456971.70142361,39.087,8.675,2271.717951
2456971.70143519,38.905,8.646,2273.996487
2456971.70144676,38.723,8.617,2276.295025
2456971.70145833,38.542,8.587,2278.613505
2456971.70146991,38.361,8.558,2280.951865
2456971.70148148,38.181,8.528,2283.310041
2456971.70149306,38.001,8.498,2285.687968
2456971.70150463,37.822,8.468,2288.085581
2456971.70151620,37.643,8.437,2290.502819
2456971.70152778,37.464,8.406,2292.939615
2456971.70153935,37.286,8.376,2295.395907
2456971.70155093,37.108,8.344,2297.871626
2456971.70156250,36.930,8.313,2300.366709
2456971.70157407,36.753,8.282,2302.881091
2456971.70158565,36.577,8.250,2305.414705
2456971.70159722,36.401,8.218,2307.967485
2456971.70160880,36.225,8.186,2310.539368
2456971.70162037,36.050,8.154,2313.130283
2456971.70163194,35.875,8.121,2315.740165
2456971.70164352,35.700,8.089,2318.368949
2456971.70165509,35.526,8.056,2321.016566
2456971.70166667,35.353,8.023,2323.682950
2456971.70167824,35.180,7.989,2326.368033
2456971.70168981,35.007,7.956,2329.071748
2456971.70170139,34.835,7.922,2331.794027
2456971.70171296,34.663,7.889,2334.534805
2456971.70172454,34.491,7.855,2337.294009
2456971.70173611,34.321,7.821,2340.071574
2456971.70174769,34.150,7.786,2342.867432
2456971.70175926,33.980,7.752,2345.681513
2456971.70177083,33.810,7.717,2348.513750
2456971.70178241,33.641,7.682,2351.364073
2456971.70179398,33.473,7.648,2354.232416
2456971.70180556,33.304,7.612,2357.118707
2456971.70181713,33.137,7.577,2360.022879
2456971.70182870,32.969,7.542,2362.944863
2456971.70184028,32.802,7.506,2365.884589
2456971.70185185,32.636,7.470,2368.841988
2456971.70186343,32.470,7.434,2371.816992
2456971.70187500,32.304,7.398,2374.809531
2456971.70188657,32.139,7.362,2377.819535
2456971.70189815,31.975,7.326,2380.846935
2456971.70190972,31.811,7.289,2383.891661
2456971.70192130,31.647,7.252,2386.953645
2456971.70193287,31.484,7.216,2390.032816
2456971.70194444,31.321,7.179,2393.129104
2456971.70195602,31.158,7.141,2396.242442
2456971.70196759,30.997,7.104,2399.372757
2456971.70197917,30.835,7.067,2402.519981
2456971.70199074,30.674,7.029,2405.684045
2456971.70200231,30.514,6.992,2408.864878
2456971.70201389,30.354,6.954,2412.062410
